t,attack_bias_m,estimated_x_m,estimated_y_m,estimated_z_m,true_x_m,true_y_m,true_z_m,position_error_m,clock_bias_m,mean_abs_residual_m,max_abs_residual_m,n_satellites,converged,n_iterations
102.0,0.0,-2693883.790887652,-4297464.767573986,3854210.9618038354,-2693926.04767216,-4297473.816608274,3854218.1603911705,43.8102786812221,39.58640896233858,5.045326541044882,10.98581863567233,7,True,2
103.0,0.0,-2693882.7736286647,-4297465.639629021,3854208.0501508336,-2693926.04767216,-4297473.816608274,3854218.1603911705,45.185426741480384,41.79727746519839,4.454130703849452,9.23502928391099,7,True,2
104.0,0.0,-2693880.8344118763,-4297457.084210077,3854207.5192233543,-2693926.04767216,-4297473.816608274,3854218.1603911705,49.37050240172998,37.41065988365282,3.1355340597884997,6.669822584837675,7,True,2
105.0,0.0,-2693891.2487605745,-4297464.094774964,3854194.674233227,-2693926.04767216,-4297473.816608274,3854218.1603911705,43.09382676659715,37.95369840618354,2.0218113719352653,4.468521196395159,7,True,2
106.0,0.0,-2693887.5663039694,-4297458.118799669,3854191.801712789,-2693926.04767216,-4297473.816608274,3854218.1603911705,49.21399007249074,34.909815415733284,2.2975219759557928,4.03866071999073,7,True,2
107.0,0.0,-2693876.5507402164,-4297436.609090109,3854192.5467522587,-2693926.04767216,-4297473.816608274,3854218.1603911705,67.01047812195573,17.797692952040805,5.449144317635468,11.274073839187622,7,True,2
108.0,0.0,-2693881.8899055463,-4297454.358821887,3854205.3237468326,-2693926.04767216,-4297473.816608274,3854218.1603911705,49.93288737171743,37.85375018345515,3.1058958119579723,6.046841826289892,7,True,2
109.0,0.0,-2693886.8913864996,-4297456.3698032675,3854201.976236632,-2693926.04767216,-4297473.816608274,3854218.1603911705,45.82065658395179,34.879942111987326,1.4499626835542065,2.9971054308116436,7,True,2
110.0,0.0,-2693882.6893408326,-4297469.648626647,3854213.17268767,-2693926.04767216,-4297473.816608274,3854218.1603911705,43.84283467732911,48.50027918207371,2.774994940630027,5.386860191822052,7,True,2
111.0,0.0,-2693881.677603652,-4297460.628333701,3854202.796467261,-2693926.04767216,-4297473.816608274,3854218.1603911705,48.77175128647286,36.38704983103482,3.4914089829794,6.713046293705702,7,True,2
112.0,0.0,-2693889.4708310156,-4297456.9320822945,3854200.216748967,-2693926.04767216,-4297473.816608274,3854218.1603911705,44.101324483496576,34.71946431525005,2.372193023030247,4.206913471221924,7,True,2
113.0,0.0,-2693882.6399633815,-4297454.697884848,3854202.5221414263,-2693926.04767216,-4297473.816608274,3854218.1603911705,49.94306380171664,31.62200131732666,4.54052595315235,8.603921383619308,7,True,2
114.0,0.0,-2693885.155683048,-4297455.364772802,3854203.4220531383,-2693926.04767216,-4297473.816608274,3854218.1603911705,47.22121995217918,32.35194623588021,4.829195536673069,8.088820394128561,7,True,2
115.0,0.0,-2693888.8674219125,-4297467.61463099,3854204.144954602,-2693926.04767216,-4297473.816608274,3854218.1603911705,40.215270643337405,39.49719496506927,3.9236078847731863,7.009339760988951,7,True,2
116.0,0.0,-2693892.9278105525,-4297465.786268689,3854202.123309269,-2693926.04767216,-4297473.816608274,3854218.1603911705,37.66430117060587,37.9000125168281,4.027846069740398,7.166562791913748,7,True,2
117.0,0.0,-2693893.174509765,-4297455.676961197,3854191.7199293333,-2693926.04767216,-4297473.816608274,3854218.1603911705,45.9215594694918,26.704494682940993,1.5976314800126212,2.802945513278246,7,True,2
118.0,0.0,-2693897.46576993,-4297477.485125661,3854203.268545858,-2693926.04767216,-4297473.816608274,3854218.1603911705,32.43686501065086,49.519129128828105,3.280556606394904,8.152986317873001,7,True,2
119.0,0.0,-2693896.0887162755,-4297482.784847938,3854206.664546031,-2693926.04767216,-4297473.816608274,3854218.1603911705,33.31850560619543,53.67102664896241,4.803468184811728,10.424889102578163,7,True,2
120.0,0.0,-2693899.8096678373,-4297478.9562465865,3854204.582808827,-2693926.04767216,-4297473.816608274,3854218.1603911705,29.986655283778703,51.983406443357886,4.847600449940988,12.23348382115364,7,True,2
121.0,0.0,-2693897.4589345716,-4297485.04602633,3854198.9671270456,-2693926.04767216,-4297473.816608274,3854218.1603911705,36.21874010155661,52.210923284463654,4.30657096100705,10.00396640971303,7,True,2
122.0,0.0,-2693895.3431780706,-4297473.953801772,3854196.2081913706,-2693926.04767216,-4297473.816608274,3854218.1603911705,37.74498450649229,43.32622991699377,2.256957176008395,3.881837137043476,7,True,2
123.0,0.0,-2693892.3097589,-4297471.244362028,3854194.2969574733,-2693926.04767216,-4297473.816608274,3854218.1603911705,41.404428624214184,41.61685492889366,2.571254061801093,6.31811960041523,7,True,2
