t,solved_x,solved_y,solved_z,clock_bias_m,n_satellites_used,converged,mean_abs_residual_m,confidence,kalman_x,kalman_y,kalman_z,raw_x,raw_y,raw_z,raw_error_m,kalman_error_m
2430.0,1137298.7288381504,5162899.802578206,3562433.9238200453,8.815402532609626,6,True,0.9887103935082754,0.9999316104700772,1137299.0410715716,5162891.792463076,3562433.164068763,1137298.7288381504,5162899.802578206,3562433.9238200453,9.512791577322144,1.8530137846642052
2460.0,1137307.7062795043,5162910.584714785,3562430.7785022007,22.36672336748534,6,True,0.3344314582645893,0.9998919903665395,1137301.3650229885,5162896.832420608,3562432.5242756,1137307.7062795043,5162910.584714785,3562430.7785022007,22.10325791998829,6.9552169468022385
2490.0,1137296.5094883402,5162887.040660241,3562445.357910533,-1.1649221879978455,6,True,0.589248601347208,0.9999442976886115,1137300.0400505476,5162894.160456844,3562436.026302428,1137296.5094883402,5162887.040660241,3562445.357910533,14.01574485344438,5.691911182059046
2520.0,1137299.024973314,5162885.73723129,3562432.8570669303,-1.982458793161052,6,True,0.48243850593765575,0.9999627572414778,1137299.762055036,5162891.853618684,3562435.1583554237,1137299.024973314,5162885.73723129,3562432.8570669303,4.878913889134756,3.705727104924148
2550.0,1137300.7260508363,5162895.29268077,3562426.563198267,7.158821369105711,6,True,0.8456828941901525,0.9999585517726768,1137300.0252314173,5162892.792502354,3562432.811828233,1137300.7260508363,5162895.29268077,3562426.563198267,7.516897753351877,2.866153888192567
2580.0,1137294.6843228969,5162873.6410419755,3562433.409786189,-12.029574682357397,6,True,0.41537901138265926,0.9999343667956802,1137298.57834872,5162887.604262087,3562432.9738184665,1137294.6843228969,5162873.6410419755,3562433.409786189,17.361171018519432,3.0812001559645883
2610.0,1137298.2934361128,5162890.3547952175,3562433.928882503,2.186419850061595,6,True,1.0131641340752442,0.9999713972905416,1137298.5002654914,5162888.358073965,3562433.235563583,1137298.2934361128,5162890.3547952175,3562433.928882503,2.0201764835100464,2.511497259900308
2640.0,1137296.5782663967,5162891.179723925,3562433.870473023,3.195647078874484,6,True,0.7559468286732832,0.9999642513820418,1137297.975441956,5162889.128557319,3562433.4089327683,1137296.5782663967,5162891.179723925,3562433.870473023,2.843839990608984,2.0976028639703608
2670.0,1137297.05761466,5162895.783182109,3562428.3101506117,6.053885721772848,6,True,0.9372192348043124,0.9999513483373321,1137297.7258547887,5162890.938166772,3562432.022407655,1137297.05761466,5162895.783182109,3562428.3101506117,6.571961852358686,0.9310739617369884
2700.0,1137301.0433273176,5162895.3711315505,3562437.2835685783,6.968485243756213,6,True,1.2373439222574234,0.9999663384503857,1137298.632331253,5162892.149443792,3562433.4599835537,1137301.0433273176,5162895.3711315505,3562437.2835685783,7.655733710030404,2.249513711877303
